date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:14	198109/198109	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2022:05:08%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
11:38:14	145169/145169	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2015:08:54%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
11:38:14	153343/153343	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2022:05:09%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
11:38:14	823262/823262	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2016:38:12%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
11:38:15	176622/176622	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2019:12:54%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
11:38:15	178477/178477	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2022:05:10%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	C:/Users/57300/Desktop/clas/classcentral/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
11:38:15	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/Users/57300/Desktop/clas/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
11:38:16	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202023%2014:04:30%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/Users/57300/Desktop/clas/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
11:38:16	5751/5751	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2023:51:18%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/Users/57300/Desktop/clas/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
11:38:16	96645/96645	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2023:05:37%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&h=420&ixlib=php-3.3.1&s=9044610de77ddba19697f770dd2531c7	C:/Users/57300/Desktop/clas/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-courses08e8.png	(from https://www.classcentral.com/)
